Icao,Message,Timestamp,Receiver,df,Receiver IP
80139F,5D80139F846B61,1229B25792A036,2,11,192.168.101.3
7BD01B,5D7BD01B94C12C,1229B81C038027,1,11,192.168.30.27
80139F,5D80139F846B61,1229B355DEF839,2,11,192.168.101.3
800C3C,5D800C3CC7D082,1229B36A35D112,2,11,192.168.101.3
800C3C,5D800C3CC7D083,1229B36A35E138,2,11,192.168.101.3
800C3C,5D800C3CC7D08B,1229B493CCCD12,2,11,192.168.101.3
702097,5D702097B0554C,1229B542090C63,2,11,192.168.101.3
7BD01B,5D7BD01B94C12C,1229B5BD54E426,2,11,192.168.101.3
80139F,5D80139F846B6F,1229C04133F421,1,11,192.168.30.27
7BD01B,5D7BD01B94C12C,1229B6EE39CF2E,2,11,192.168.101.3
801410,5D80141056ED67,1229CA41A89442,2,11,192.168.101.3
702075,5D702075B50D47,1229C3FB040A34,1,11,192.168.30.27
702C09,5D702C09FFBD15,1229C4F228D72F,1,11,192.168.30.27
702C0A,5D702C0A005507,1229C4FD8BE136,1,11,192.168.30.27
680002,5D680002C5DD7A,1229C53BABDF47,1,11,192.168.30.27
800C0B,5D800C0B3921C7,1229C6268F7637,1,11,192.168.30.27
7705C5,5D7705C59A78E4,1229D0081E5B37,2,11,192.168.101.3
70209E,5D70209E4FD127,1229D0E49A1539,2,11,192.168.101.3
800BB1,5D800BB1154A9E,1229C84422972D,1,11,192.168.30.27
70209E,5D70209E4FD127,1229D1E01CBD27,2,11,192.168.101.3
7705C5,5D7705C59A78E4,1229D60D7E5612,1,11,192.168.30.27
70209E,5D70209E4FD129,1229D3F8C32023,2,11,192.168.101.3
70209E,5D70209E4FD127,1229D407956026,2,11,192.168.101.3
8005F0,5D8005F0BD7CF7,1229D4D0647B3D,2,11,192.168.101.3
702099,5D702099B0010D,1229D78591D92A,1,11,192.168.30.27
70206D,5D70206DB59DF3,1229D7D399ECC7,1,11,192.168.30.27
800DAA,5D800DAACE1F38,1229E175520B52,2,11,192.168.101.3
800C11,5D800C1139AD6E,1229E196040A3B,2,11,192.168.101.3
800C11,5D800C1139AD60,1229E1E7F07438,2,11,192.168.101.3
70206C,5D70206C4A69FA,1229D8BA6C7076,1,11,192.168.30.27
800C74,5D800C74C42381,1229D8CE75E52B,1,11,192.168.30.27
800DAA,5D800DAACE1F38,1229E25A7B064A,2,11,192.168.101.3
